1	33.88	2.97	0.00		SMD1,27-2,54
2	32.42	2.97	0.00		SMD1,27-2,54
3	30.96	2.97	0.00		SMD1,27-2,54
4	35.35	2.97	0.00		SMD1,27-2,54
C1	26.60	14.91	90.00	0.1uF	0603
C2	11.10	4.85	180.00	100n	0603
C3	31.85	7.89	90.00	0.1uF	0603
C4	6.22	14.35	180.00	0.1uF	0603
C5	3.48	30.22	90.00		0603
C6	1.52	30.34	270.00		0603
D1	3.34	22.32	0.00		LED-0603
D2	29.49	31.42	180.00		LED-0603
IC3	6.68	30.65	0.00		SOT95P280X130-3N
LED1	24.77	2.41	270.00		CHIPLED_0805
LED2	20.78	2.36	90.00		CHIPLED_0805
Q1	6.34	25.56	270.00	220mA/50V/3.5Ω	SOT23-3
R1	8.85	15.05	90.00	1M	0603
R10	34.09	27.96	0.00	2k	0603
R11	34.88	8.46	0.00	2k	0603
R12	34.47	17.71	0.00	2k	0603
R14	28.30	2.41	0.00	1k	0603
R15	17.21	1.99	180.00	1k	0603
R19	13.88	10.77	0.00	6.8k	0603
R2	3.35	14.29	90.00	1k	0603
R20	17.23	10.73	180.00	2.2k	0603
R21	6.04	20.48	180.00	1K	0603
R22	25.98	29.90	90.00	1k	0603
R23	3.78	18.09	90.00	0	0603
R24	2.13	18.03	90.00	0	0603
R3	1.54	14.26	90.00	1k	0603
R4	26.79	19.20	90.00	10k	0603
R9	2.46	25.60	270.00	1k	0603
S1	37.97	24.36	270.00		TACTILE_SWITCH_SMD_6.0X3.5MM
S2	38.07	6.13	270.00		TACTILE_SWITCH_SMD_6.0X3.5MM
S3	38.07	14.92	270.00		TACTILE_SWITCH_SMD_6.0X3.5MM
U1	19.56	15.52	0.00	ATMEGA328P-MU	QFN50P500X500X100-33N
U2	4.91	7.12	90.00	CH340C	SO016
Y1	11.76	14.65	0.00	16MHz	RESONATOR-SMD-3.2X1.3
